underlying,option_style,contract_symbol,option_type,quote_date,underlying_price,strike,expiry_date,risk_free_rate,dividend_yield,vendor_implied_volatility,market_option_price,bid,ask,bid_ask_spread,volume,open_interest,data_source,implied_volatility,iv_solvable
NVDA,american,NVDA260814C00157500,call,2026-08-13,224.08999633789062,157.5,2026-08-14,0.03707000017166138,0.00018390804,1.0000000000000003e-05,67.11,0.0,0.0,0.0,70.0,0.0,yahoo,3.7194625675225312,True
NVDA,american,NVDA260814C00175000,call,2026-08-13,224.08999633789062,175.0,2026-08-14,0.03707000017166138,0.00018390804,1.0000000000000003e-05,49.75,0.0,0.0,0.0,25.0,0.0,yahoo,2.893681174177901,True
NVDA,american,NVDA260814C00200000,call,2026-08-13,224.08999633789062,200.0,2026-08-14,0.03707000017166138,0.00018390804,1.0000000000000003e-05,24.25,0.0,0.0,0.0,1491.0,0.0,yahoo,1.144617702820209,True
NVDA,american,NVDA260814C00202500,call,2026-08-13,224.08999633789062,202.5,2026-08-14,0.03707000017166138,0.00018390804,1.0000000000000003e-05,21.98,0.0,0.0,0.0,14751.0,0.0,yahoo,1.2543302493144164,True
NVDA,american,NVDA260814C00205000,call,2026-08-13,224.08999633789062,205.0,2026-08-14,0.03707000017166138,0.00018390804,1.0000000000000003e-05,19.27,0.0,0.0,0.0,3748.0,0.0,yahoo,0.9554493965363099,True
NVDA,american,NVDA260814C00207500,call,2026-08-13,224.08999633789062,207.5,2026-08-14,0.03707000017166138,0.00018390804,1.0000000000000003e-05,16.8,0.0,0.0,0.0,5293.0,0.0,yahoo,0.8754174253489401,True
NVDA,american,NVDA260814C00210000,call,2026-08-13,224.08999633789062,210.0,2026-08-14,0.03707000017166138,0.00018390804,1.0000000000000003e-05,14.35,0.0,0.0,0.0,5424.0,0.0,yahoo,0.8025226253886941,True
NVDA,american,NVDA260814C00215000,call,2026-08-13,224.08999633789062,215.0,2026-08-14,0.03707000017166138,0.00018390804,1.0000000000000003e-05,9.58,0.0,0.0,0.0,7790.0,0.0,yahoo,0.6799778423419236,True
NVDA,american,NVDA260814C00217500,call,2026-08-13,224.08999633789062,217.5,2026-08-14,0.03707000017166138,0.00018390804,1.0000000000000003e-05,7.28,0.0,0.0,0.0,9337.0,0.0,yahoo,0.6125517080726485,True
NVDA,american,NVDA260814C00220000,call,2026-08-13,224.08999633789062,220.0,2026-08-14,0.03707000017166138,0.00018390804,1.0000000000000003e-05,5.09,0.0,0.0,0.0,34145.0,0.0,yahoo,0.542925648251764,True
NVDA,american,NVDA260814C00222500,call,2026-08-13,224.08999633789062,222.5,2026-08-14,0.03707000017166138,0.00018390804,1.0000000000000003e-05,3.4,0.0,0.0,0.0,56678.0,0.0,yahoo,0.5387091428017947,True
NVDA,american,NVDA260814C00225000,call,2026-08-13,224.08999633789062,225.0,2026-08-14,0.03707000017166138,0.00018390804,0.015634843750000002,2.02,0.0,0.0,0.0,132887.0,0.0,yahoo,0.5197938995300531,True
NVDA,american,NVDA260814C00227500,call,2026-08-13,224.08999633789062,227.5,2026-08-14,0.03707000017166138,0.00018390804,0.062509375,1.12,0.0,0.0,0.0,49635.0,0.0,yahoo,0.5196375065099292,True
NVDA,american,NVDA260814C00230000,call,2026-08-13,224.08999633789062,230.0,2026-08-14,0.03707000017166138,0.00018390804,0.062509375,0.59,0.0,0.0,0.0,53070.0,0.0,yahoo,0.5287671158773096,True
NVDA,american,NVDA260814C00232500,call,2026-08-13,224.08999633789062,232.5,2026-08-14,0.03707000017166138,0.00018390804,0.12500875,0.29,0.0,0.0,0.0,18493.0,0.0,yahoo,0.5380726975710152,True
NVDA,american,NVDA260814C00235000,call,2026-08-13,224.08999633789062,235.0,2026-08-14,0.03707000017166138,0.00018390804,0.12500875,0.15,0.0,0.0,0.0,14568.0,0.0,yahoo,0.5605585694714184,True
NVDA,american,NVDA260814C00237500,call,2026-08-13,224.08999633789062,237.5,2026-08-14,0.03707000017166138,0.00018390804,0.2500075,0.08,0.0,0.0,0.0,4781.0,0.0,yahoo,0.5863949355523869,True
NVDA,american,NVDA260814C00240000,call,2026-08-13,224.08999633789062,240.0,2026-08-14,0.03707000017166138,0.00018390804,0.2500075,0.05,0.0,0.0,0.0,9310.0,0.0,yahoo,0.6252775918990271,True
NVDA,american,NVDA260814C00242500,call,2026-08-13,224.08999633789062,242.5,2026-08-14,0.03707000017166138,0.00018390804,0.2500075,0.04,0.0,0.0,0.0,1105.0,0.0,yahoo,0.6831422863036621,True
NVDA,american,NVDA260814C00245000,call,2026-08-13,224.08999633789062,245.0,2026-08-14,0.03707000017166138,0.00018390804,0.2500075,0.02,0.0,0.0,0.0,3342.0,0.0,yahoo,0.6956061611871686,True
NVDA,american,NVDA260814C00250000,call,2026-08-13,224.08999633789062,250.0,2026-08-14,0.03707000017166138,0.00018390804,0.2500075,0.03,0.0,0.0,0.0,4179.0,0.0,yahoo,0.8732211755747095,True
NVDA,american,NVDA260814P00187500,put,2026-08-13,224.08999633789062,187.5,2026-08-14,0.03707000017166138,0.00018390804,0.500005,0.02,0.0,0.0,0.0,121.0,0.0,yahoo,1.308358869983137,True
